provincia;municipio;estacion;magnitud;punto_muestreo;ano;mes;dia;h01;v01;h02;v02;h03;v03;h04;v04;h05;v05;h06;v06;h07;v07;h08;v08;h09;v09;h10;v10;h11;v11;h12;v12;h13;v13;h14;v14;h15;v15;h16;v16;h17;v17;h18;v18;h19;v19;h20;v20;h21;v21;h22;v22;h23;v23;h24;v24
28;102;1;1;28102001_1_38;2021;9;1;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V;2;V
28;102;1;6;28102001_6_48;2021;9;1;0.6;V;0.6;V;0.5;V;0.6;V;0.5;V;0.5;V;0.5;V;0.5;V;0.5;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.5;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V;0.6;V
28;102;1;7;28102001_7_8;2021;9;1;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;102;1;8;28102001_8_8;2021;9;1;4;V;3;V;3;V;3;V;4;V;5;V;4;V;4;V;4;V;4;V;3;V;3;V;3;V;3;V;4;V;3;V;4;V;6;V;6;V;5;V;4;V;6;V;8;V;7;V
28;102;1;10;28102001_10_49;2021;9;1;30;V;19;V;11;V;10;V;10;V;14;V;11;V;4;V;3;V;1;V;2;V;5;V;11;V;20;V;19;V;10;V;12;V;7;V;10;V;9;V;10;V;13;V;14;V;14;V
28;102;1;12;28102001_12_8;2021;9;1;6;V;5;V;5;V;5;V;6;V;7;V;6;V;6;V;6;V;6;V;5;V;5;V;5;V;5;V;6;V;5;V;6;V;8;V;8;V;7;V;6;V;8;V;10;V;9;V
28;102;1;14;28102001_14_6;2021;9;1;70;V;80;V;81;V;76;V;69;V;74;V;77;V;73;V;80;V;81;V;80;V;84;V;85;V;90;V;90;V;91;V;84;V;72;V;70;V;66;V;64;V;51;V;44;V;42;V
28;120;1;7;28120001_7_8;2021;9;1;1;V;;N;;N;;N;;N;;N;2;V;1;V;1;V;2;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V;1;V
28;120;1;8;28120001_8_8;2021;9;1;3;V;;N;;N;;N;;N;;N;3;V;3;V;2;V;2;V;2;V;2;V;2;V;4;V;4;V;3;V;3;V;2;V;1;V;2;V;3;V;3;V;2;V;2;V
28;120;1;9;28120001_9_49;2021;9;1;12;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;120;1;10;28120001_10_49;2021;9;1;26;V;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N;;N
28;120;1;12;28120001_12_8;2021;9;1;5;V;;N;;N;;N;;N;;N;5;V;5;V;4;V;5;V;4;V;4;V;4;V;6;V;6;V;5;V;5;V;4;V;3;V;4;V;5;V;5;V;4;V;4;V
28;120;1;14;28120001_14_6;2021;9;1;68;V;;N;;N;;N;;N;;N;67;V;75;V;79;V;92;V;97;V;94;V;86;V;94;V;98;V;102;V;81;V;85;V;95;V;84;V;59;V;68;V;91;V;83;V
28;123;2;7;28123002_7_8;2021;9;1;1;V;1;V;1;V;1;V;1;V;2;V;6;V;7;V;8;V;4;V;4;V;5;V;4;V;5;V;4;V;5;V;7;V;10;V;6;V;4;V;3;V;3;V;2;V;1;V
28;123;2;8;28123002_8_8;2021;9;1;3;V;3;V;2;V;5;V;4;V;8;V;24;V;29;V;22;V;9;V;11;V;14;V;10;V;20;V;19;V;22;V;27;V;44;V;37;V;34;V;24;V;28;V;18;V;13;V
28;123;2;10;28123002_10_49;2021;9;1;22;V;26;V;12;V;15;V;39;V;16;V;7;V;5;V;10;V;1;V;6;V;11;V;7;V;16;V;28;V;63;V;40;V;11;V;4;V;20;V;6;V;20;V;8;V;13;V
28;123;2;12;28123002_12_8;2021;9;1;5;V;5;V;4;V;7;V;6;V;12;V;33;V;39;V;34;V;16;V;17;V;21;V;16;V;28;V;26;V;30;V;37;V;59;V;46;V;40;V;29;V;32;V;20;V;15;V
