estacion_codigo;zona_calidad_aire_descripcion;estacion_municipio;estacion_fecha_alta;estacion_tipo_area;estacion_tipo_estacion;estacion_subarea_rural;estacion_direccion_postal;estacion_coord_UTM_ETRS89_x;estacion_coord_UTM_ETRS89_y;estacion_coord_longitud;estacion_coord_latitud;estacion_altitud;estacion_analizador_NO;estacion_analizador_NO2;estacion_analizador_PM10;estacion_analizador_PM2_5;estacion_analizador_O3;estacion_analizador_TOL;estacion_analizador_BEN;estacion_analizador_XIL;estacion_analizador_CO;estacion_analizador_SO2;estacion_analizador_HCT;estacion_analizador_HNM
28005002;Zona 2 Corredor del Henares;Alcalá de Henares;2000/03/16 00:00:00.000;Urbana;Tráfico;;C.E.I.P. Manuel Azaña, Avda. del Ejército, 5;467979;4481011;"03°22'40,0""W";"40°28'45,0""N";595;Si;Si;Si;Si;Si ;;;;Si;Si;;
28006004;Zona 2 Corredor del Henares;Alcobendas;2000/01/19 00:00:00.000;Urbana;Tráfico;;Parque de Andalucía, C/ Pintor Murillo;445363;4487950;"03°38'42,7""W";"40°32'25,8""N";688;Si ;Si ;Si;;Si ;Si;Si;Si;;;Si;Si
28007004;Zona 3 Urbana Sur;Alcorcón;2008/09/11 00:00:00.000;Urbana;Fondo;;Colegio Blas de Otero, Avda. del Oeste, 4;429190;4466041;"03°50'01,4""W";"40°20'30,9""N";693;Si ;Si ;;Si;Si ;;;;;;;
28009001;Zona 2 Corredor del Henares;Algete;2007/03/31 00:00:00.000;Suburbana;Fondo;;Parque Europa, C/ Humilladero con C/ Francisco Quevedo;457418;4494449;03°30'11,8''W;40°35'59,1''N;800;Si ;Si ;Si;;Si ;;;;;;;
28013002;Zona 3 Urbana Sur;Aranjuez;2001/10/06 00:00:00.000;Suburbana;Fondo;;Polideportivo Municipal Agustín Marañón, C/ Moreras (C/ Primero de Mayo, 4);449541;4431618;03°35'29,1''W;40°01'59,8''N;501;Si;Si;Si;Si;Si ;;;;;;;
28014002;Zona 2 Corredor del Henares;Arganda del Rey;2006/04/25 00:00:00.000;Urbana;Industrial;;Punto Limpio, C/ Río Tajuña, 5;461002;4461246;"03°27'32,0""W";"40°18'02,9""N";586;Si;Si;Si;;Si;;;;;;;
28016001;Zona 5 Sierra Norte;El Atazar;2006/08/22 00:00:00.000;Rural;Fondo;Remota;Instalaciones del Canal de Isabel II;460596;4528767;"03°28'04,4""W";"40°54'32,6""N";995;Si;Si;Si;Si;Si ;;;;;;;
28045002;Zona 4 Urbana Noroeste;Colmenar Viejo;2001/10/06 00:00:00.000;Urbana;Tráfico;;Auditorio Municipal, C/ Molino de Viento, s/n;434586;4501818;03°46'26,0''W;40°39'52,7''N;905;Si;Si;;Si;Si;;;;;;;
28047002;Zona 4 Urbana Noroeste;Collado Villalba;2006/05/31 00:00:00.000;Urbana;Tráfico;;Colegio Público Rosa Chacel, C/ Santa Teresa de Jesús, 12;414233;4498525;"04°00'51,1""W";"40°37'59,2""N";873;Si;Si;Si;;Si;;;;;;;
28049003;Zona 2 Corredor del Henares;Coslada;2007/06/05 00:00:00.000;Urbana;Tráfico;;Polideportivo Municipal Valle Aguado, Avda. José Gárate, 8 (C/ Perú, 17);454001;4475678;"03°32'32,3""W";"40°25'49,7""N";621;Si;Si;Si;;Si ;Si;Si;Si;;;Si;Si
