zona_calidad_aire_codigo;zona_calidad_aire_descripcion;zona_calidad_aire_municipio
1;ZONA 1 AGLOMERACIÓN MADRID CIUDAD;MADRID
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;AJALVIR
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;ALCALÁ DE HENARES
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;ALCOBENDAS
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;ALGETE
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;ANCHUELO
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;ARGANDA DEL REY
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;CAMARMA DE ESTERUELAS
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;COBEÑA
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;COSLADA
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;DAGANZO DE ARRIBA
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;LOECHES
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;MECO
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;MEJORADA DEL CAMPO
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;MORATA DE TAJUÑA
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;PARACUELLOS DE JARAMA
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;RIVAS-VACIAMADRID
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;SAN FERNANDO DE HENARES
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;SAN SEBASTIÁN DE LOS REYES
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;SANTOS DE LA HUMOSA
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;TORREJON DE ARDOZ
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;TORRES DE LA ALAMEDA
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;VELILLA DE SAN ANTONIO
2;ZONA 2 AGLOMERACIÓN CORREDOR DEL HENARES;VILLALBILLA
3;ZONA 3 AGLOMERACIÓN URBANA SUR;EL ÁLAMO
3;ZONA 3 AGLOMERACIÓN URBANA SUR;ALCORCÓN
3;ZONA 3 AGLOMERACIÓN URBANA SUR;ARANJUEZ
3;ZONA 3 AGLOMERACIÓN URBANA SUR;ARROYOMOLINOS
3;ZONA 3 AGLOMERACIÓN URBANA SUR;BATRES
3;ZONA 3 AGLOMERACIÓN URBANA SUR;CASARRUBUELOS
3;ZONA 3 AGLOMERACIÓN URBANA SUR;CHINCHÓN
3;ZONA 3 AGLOMERACIÓN URBANA SUR;CIEMPOZUELOS
3;ZONA 3 AGLOMERACIÓN URBANA SUR;COLMENAR DE OREJA
3;ZONA 3 AGLOMERACIÓN URBANA SUR;CUBAS DE LA SAGRA
3;ZONA 3 AGLOMERACIÓN URBANA SUR;FUENLABRADA
3;ZONA 3 AGLOMERACIÓN URBANA SUR;GETAFE
3;ZONA 3 AGLOMERACIÓN URBANA SUR;GRIÑÓN
3;ZONA 3 AGLOMERACIÓN URBANA SUR;HUMANES DE MADRID
3;ZONA 3 AGLOMERACIÓN URBANA SUR;LEGANÉS
3;ZONA 3 AGLOMERACIÓN URBANA SUR;MORALEJA DE ENMEDIO
3;ZONA 3 AGLOMERACIÓN URBANA SUR;MÓSTOLES
3;ZONA 3 AGLOMERACIÓN URBANA SUR;NAVALCARNERO
3;ZONA 3 AGLOMERACIÓN URBANA SUR;PARLA
3;ZONA 3 AGLOMERACIÓN URBANA SUR;PINTO
3;ZONA 3 AGLOMERACIÓN URBANA SUR;SAN MARTÍN DE LA VEGA
3;ZONA 3 AGLOMERACIÓN URBANA SUR;SERRANILLOS DEL VALLE
3;ZONA 3 AGLOMERACIÓN URBANA SUR;TITULCIA
3;ZONA 3 AGLOMERACIÓN URBANA SUR;TORREJÓN DE LA CALZADA
3;ZONA 3 AGLOMERACIÓN URBANA SUR;TORREJÓN DE VELASCO
3;ZONA 3 AGLOMERACIÓN URBANA SUR;VALDEMORO
3;ZONA 3 AGLOMERACIÓN URBANA SUR;VILLACONEJOS
3;ZONA 3 AGLOMERACIÓN URBANA SUR;VILLAVICIOSA DE ODÓN
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;ALPEDRETE
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;BOADILLA DEL MONTE
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;CERCEDILLA
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;COLLADO MEDIANO
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;COLLADO VILLALBA
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;COLMENAR VIEJO
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;COLMENAREJO
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;EL ESCORIAL
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;GALAPAGAR
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;GUADARRAMA
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;HOYO DE MANZANARES
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;MAJADAHONDA
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;LOS MOLINOS
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;MORALZARZAL
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;POZUELO DE ALARCÓN
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;LAS ROZAS DE MADRID
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;SAN AGUSTÍN DEL GUADALIX
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;SAN LORENZO DE EL ESCORIAL
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;TORRELODONES
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;TRES CANTOS
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;VILLANUEVA DE LA CAÑADA
4;ZONA 4 AGLOMERACIÓN URBANA NOROESTE;VILLANUEVA DEL PARDILLO
5;ZONA 5 SIERRA NORTE;ACEBEDA
5;ZONA 5 SIERRA NORTE;ALAMEDA DEL VALLE
5;ZONA 5 SIERRA NORTE;EL ATAZAR
5;ZONA 5 SIERRA NORTE;BECERRIL DE LA SIERRA
5;ZONA 5 SIERRA NORTE;EL BERRUECO
5;ZONA 5 SIERRA NORTE;BERZOSA DEL LOZOYA
5;ZONA 5 SIERRA NORTE;EL BOALO
5;ZONA 5 SIERRA NORTE;BRAOJOS
5;ZONA 5 SIERRA NORTE;BUITRAGO DEL LOZOYA
5;ZONA 5 SIERRA NORTE;BUSTARVIEJO
5;ZONA 5 SIERRA NORTE;CABANILLAS DE LA SIERRA
